id;type;answer
1;radio;0
2;radio;1
3;dropdown;Laurel
4;text;l
4;radio;5
5;radio;0
6;radio;0
7;checkbox;5
8;text;3
9;text;2
10;text;6
11;text;0
12;radio;2
13;radio;0
14;radio;0
15;checkbox;0
16;radio;0
17;radio;0
18;radio;0
19;checkbox;2
20;radio;0
21;radio;0
22;radio;0
23;radio;0
24;checkbox;0
25;radio;0
26;radio;0
27;radio;0
28;radio;1
29;radio;1
30;radio;3
31;radio;0
32;radio;0
33;radio;2
34;radio;0
35;radio;1
36;radio;0
37;radio;2
38;radio;1
39;radio;1
40;radio;3
41;radio;0
42;radio;1
43;radio;2
44;radio;0
45;radio;1
46;radio;0
47;radio;1
48;radio;2
